German,English
ich,I
sie ,you
ist ,is
du ,you
nicht ,Not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a 
in ,in
mir ,me
mit ,With
ja ,Yes
den ,the
wie ,how
mich ,me
auf ,on
dass ,that
eine ,one
aber ,but
so ,so
hat ,Has
haben ,to have
sind ,are
für ,for
von ,from
dich ,you
war ,was
wenn ,if
ihr ,her
habe ,have
nein ,no
an ,on
bin ,am
noch ,still
da ,there
dir ,to you
nur ,only 
einen ,a
sich ,itself
uns ,us
hast ,have
dem ,to the
kann ,can
sein ,be
auch ,also
ihn ,him
schon ,beautiful
als ,as
jetzt ,now
gut ,Well
mal ,times
aus ,out
um ,around
meine ,think
dann ,then
wird ,becomes
im ,in the
bist ,are you
mein ,my
doch ,yet
alles ,all
keine ,no
weiß ,White
oder ,or
nach ,after
s ,S
werden ,will
nichts ,Nothing
man ,one
wo ,Where
ihnen ,them
etwas ,some
muss ,got to
will ,want
geht ,goes
oh ,Oh
mehr ,more
also ,so
bei ,at
immer ,always
bitte ,You're welcome
warum ,why
hab ,have
vor ,before
los ,Come on
können ,be able
wieder ,again
sagen ,to say
machen ,make
alle ,Everyone
sehr ,very
mann ,husband
okay ,OK
gehen ,walk
denn ,then
zum ,to the
tun ,do
ihm ,him
diese ,this
danke ,thanks
sehen ,see
wer ,who
einem ,a
euch ,you
komm ,come
vielleicht ,perhaps
einer ,one
ihre ,their
werde ,will
gibt ,are
über ,above
deine ,yours
wissen ,to know
müssen ,have to
wirklich ,really
soll ,target
nie ,never
weg ,away
hey ,hey
kein ,no
des ,of
würde ,would
einfach ,easy
leben ,Life
am ,at the
viel ,a lot of
tut ,does
willst ,want
kommen ,come
zeit ,time
nun ,well
hatte ,would have
dein ,your
weil ,because
kommt ,comes
heute ,today
wollen ,want
weißt ,white
damit ,in order to
frau ,Mrs
gesagt ,said
wäre ,would
ganz ,all
wurde ,became
bis ,until
sicher ,secure
kannst ,can
zurück ,return
dieser ,this
leid ,suffering
lassen ,to let
macht ,power
na ,n / A
gott ,God
meinen ,think
hallo ,Hello
seine ,his
zwei ,two
lass ,let
hätte ,would have
zur ,to the
waren ,were
genau ,I agree
könnte ,could
vater ,father
morgen ,morning
leute ,people
klar ,clear
ok ,OK
ab ,away
tag ,Day
gerade ,just
gesehen ,seen
schön ,Nice
glaube ,believe
liebe ,love
geld ,money
durch ,through
reden ,talk
unsere ,our
jemand ,someone
mach ,make
raus ,Out
sagte ,said
keinen ,no
ob ,if
sollte ,should
gemacht ,did
mutter ,mother
dieses ,this
paar ,few
sir ,sir
passiert ,happened
musst ,must
wohl ,probably
möchte ,would like
besser ,better
dachte ,thought
selbst ,even
her ,from
hör ,listening
gehört ,heard
wirst ,become
sag ,say
ohne ,without
nacht ,night
diesen ,this
anderen ,others
meiner ,mine
wieso ,how come
finden ,Find
dort ,there
helfen ,help
meinem ,my
lange ,Long
gute ,quality
ordnung ,order
weiter ,further
natürlich ,naturally
sei ,be
ins ,into the
gar ,at all
geh ,walk
richtig ,correct
diesem ,this
vom ,from the
sagt ,says
denke ,think
seit ,since
gleich ,same
hören ,Listen
ach ,Oh
mädchen ,girl
davon ,from that
sieht ,sees
ihren ,their
recht ,Law
dafür ,Therefore
wegen ,because
hin ,there
warte ,wait
drei ,three
deinen ,yours
abend ,evening
freund ,friend
guten ,good
sollen ,must
sollten ,should
haus ,a house
viele ,many
bleiben ,stay
machst ,make
musik ,music
unser ,our
angst ,fear
schnell ,quickly
tot ,dead
welt ,world
zusammen ,together
habt ,have
unter ,under
scheiße ,crap
nehmen ,take
eines ,one
